id,order,image,click,row,col
1,1,44,1,2,5
1,1,44,2,3,5
1,1,44,3,1,5
1,2,1,1,4,5
1,2,1,2,4,6
1,2,1,3,5,5
1,3,10,1,3,5
1,3,10,2,2,5
1,3,10,3,2,4
1,4,63,1,3,5
1,4,63,2,4,5
1,4,63,3,4,6
1,5,18,1,1,3
1,5,18,2,1,2
1,5,18,3,1,4
1,6,61,1,5,3
1,6,61,2,4,3
1,6,61,3,4,7
1,7,3,1,2,5
1,7,3,2,2,6
1,7,3,3,3,5
1,8,26,1,4,6
1,8,26,2,4,7
1,8,26,3,3,6
1,9,45,1,2,5
1,9,45,2,3,6
1,9,45,3,3,5
1,10,65,1,3,5
1,10,65,2,3,6
1,10,65,3,6,7
1,12,83,1,2,6
1,12,83,2,1,7
1,12,83,3,1,6
1,13,32,1,3,6
1,13,32,2,3,5
1,13,32,3,4,6
1,14,12,1,4,4
1,14,12,2,5,4
1,14,12,3,3,4
1,15,40,1,2,4
1,15,40,2,3,4
1,15,40,3,2,5
1,16,15,1,5,6
1,16,15,2,6,6
1,16,15,3,6,7
1,17,23,1,4,6
1,17,23,2,4,7
1,17,23,3,4,5
1,18,54,1,4,5
1,18,54,2,3,5
1,18,54,3,5,4
1,20,28,1,4,6
1,20,28,2,5,6
1,20,28,3,4,7
1,21,60,1,2,6
1,21,60,2,2,5
1,21,60,3,1,6
1,22,33,1,5,6
1,22,33,2,4,6
1,22,33,3,4,5
1,23,51,1,2,6
1,23,51,2,2,5
1,23,51,3,1,5
1,24,53,1,4,5
1,24,53,2,4,4
1,24,53,3,3,5
1,25,82,1,4,5
1,25,82,2,5,5
1,25,82,3,5,4
1,26,35,1,4,7
1,26,35,2,4,6
1,26,35,3,5,6
1,27,22,1,2,5
1,27,22,2,2,6
1,27,22,3,1,5
1,28,19,1,4,6
1,28,19,2,3,6
1,28,19,3,3,7
1,29,84,1,2,6
1,29,84,2,3,6
1,29,84,3,3,5
1,30,57,1,2,6
1,30,57,2,3,7
1,30,57,3,2,5
1,31,48,1,2,6
1,31,48,2,1,6
1,31,48,3,2,5
1,32,31,1,3,7
1,32,31,2,4,7
1,32,31,3,4,6
1,33,42,1,4,6
1,33,42,2,4,5
1,33,42,3,5,6
1,34,67,1,2,7
1,34,67,2,2,8
1,34,67,3,1,8
1,35,27,1,2,6
1,35,27,2,2,6
1,35,27,3,2,5
1,36,29,1,3,6
1,36,29,2,2,6
1,36,29,3,2,7
1,37,13,1,3,5
1,37,13,2,3,6
1,37,13,3,2,6
1,38,7,1,5,5
1,38,7,2,5,6
1,38,7,3,4,6
1,39,64,1,4,6
1,39,64,2,5,6
1,39,64,3,6,6
1,40,36,1,2,5
1,40,36,2,1,4
1,40,36,3,1,5
1,41,37,1,3,6
1,41,37,2,3,7
1,41,37,3,2,7
1,42,50,1,3,6
1,42,50,2,4,5
1,42,50,3,3,5
1,43,30,1,5,6
1,43,30,2,5,5
1,43,30,3,4,6
1,44,58,1,2,6
1,44,58,2,2,5
1,44,58,3,1,5
1,45,25,1,5,6
1,45,25,2,6,6
1,45,25,3,6,7
1,46,24,1,3,8
1,46,24,2,2,9
1,46,24,3,2,8
1,47,16,1,4,6
1,47,16,2,3,6
1,47,16,3,4,5
1,48,11,1,3,5
1,48,11,2,2,5
1,48,11,3,2,6
1,49,80,1,4,3
1,49,80,2,3,3
1,49,80,3,4,4
1,50,47,1,1,6
1,50,47,2,1,5
1,50,47,3,2,6
1,51,2,1,3,3
1,51,2,2,3,4
1,51,2,3,4,3
1,52,46,1,4,6
1,52,46,2,3,6
1,52,46,3,3,7
2,1,2,1,4,6
2,1,2,2,5,6
2,1,2,3,4,7
2,2,19,1,3,5
2,2,19,2,2,5
2,2,19,3,4,6
2,3,48,1,2,6
2,3,48,2,1,6
2,3,48,3,2,5
2,4,18,1,4,8
2,4,18,2,4,8
2,4,18,3,4,8
2,6,60,1,4,6
2,6,60,2,4,5
2,6,60,3,3,5
2,7,84,1,3,6
2,7,84,2,2,6
2,7,84,3,1,6
2,8,26,1,3,5
2,8,26,2,2,5
2,8,26,3,2,6
2,9,11,1,3,6
2,9,11,2,3,5
2,9,11,3,2,6
2,10,35,1,3,6
2,10,35,2,3,5
2,10,35,3,3,6
2,11,40,1,3,4
2,11,40,2,3,4
2,11,40,3,3,4
2,12,57,1,3,7
2,12,57,2,3,7
2,12,57,3,3,7
2,13,44,1,4,6
2,13,44,2,4,6
2,13,44,3,4,6
2,14,45,1,3,6
2,14,45,2,2,5
2,14,45,3,2,5
2,15,65,1,3,5
2,15,65,2,3,5
2,15,65,3,3,6
2,16,36,1,3,5
2,16,36,2,3,6
2,16,36,3,3,6
2,17,30,1,5,6
2,17,30,2,5,6
2,17,30,3,5,6
2,18,28,1,4,6
2,18,28,2,4,7
2,18,28,3,4,7
2,19,16,1,5,4
2,19,16,2,5,5
2,19,16,3,4,5
2,20,37,1,3,7
2,20,37,2,3,7
2,20,37,3,3,7
2,21,61,1,4,8
2,21,61,2,4,7
2,21,61,3,3,8
2,22,10,1,3,7
2,22,10,2,3,7
2,22,10,3,3,7
2,23,58,1,2,6
2,23,58,2,1,5
2,23,58,3,1,6
2,24,47,1,1,6
2,24,47,2,1,5
2,24,47,3,2,6
2,25,54,1,4,5
2,25,54,2,4,5
2,25,54,3,5,5
2,26,15,1,4,8
2,26,15,2,5,8
2,26,15,3,5,7
2,27,25,1,5,8
2,27,25,2,4,9
2,27,25,3,4,8
2,28,33,1,5,7
2,28,33,2,5,8
2,28,33,3,5,7
2,29,12,1,5,4
2,29,12,2,4,4
2,29,12,3,4,5
2,30,29,1,4,5
2,30,29,2,3,5
2,30,29,3,3,6
2,31,80,1,5,6
2,31,80,2,5,6
2,31,80,3,5,5
2,32,1,1,4,6
2,32,1,2,4,6
2,32,1,3,5,6
2,33,46,1,5,6
2,33,46,2,4,6
2,33,46,3,5,4
2,34,42,1,5,6
2,34,42,2,4,6
2,34,42,3,4,7
2,35,7,1,5,6
2,35,7,2,5,6
2,35,7,3,5,6
2,36,50,1,4,7
2,36,50,2,3,7
2,36,50,3,3,7
2,38,53,1,4,5
2,38,53,2,4,5
2,38,53,3,4,5
2,39,67,1,2,7
2,39,67,2,2,7
2,39,67,3,1,6
2,40,27,1,3,5
2,40,27,2,3,5
2,40,27,3,3,5
2,41,13,1,4,6
2,41,13,2,3,6
2,41,13,3,3,6
2,42,82,1,5,4
2,42,82,2,5,4
2,42,82,3,5,4
2,43,32,1,3,6
2,43,32,2,4,6
2,43,32,3,3,7
2,44,22,1,3,4
2,44,22,2,3,5
2,44,22,3,4,5
2,45,83,1,1,6
2,45,83,2,1,6
2,45,83,3,2,6
2,46,24,1,3,8
2,46,24,2,3,8
2,46,24,3,3,8
2,47,3,1,3,5
2,47,3,2,3,5
2,47,3,3,3,5
2,48,23,1,4,7
2,48,23,2,4,7
2,48,23,3,4,7
2,49,63,1,4,5
2,49,63,2,4,6
2,49,63,3,3,6
2,50,64,1,2,6
2,50,64,2,2,6
2,50,64,3,2,6
2,51,51,1,2,6
2,51,51,2,2,6
2,51,51,3,2,6
2,52,31,1,5,7
2,52,31,2,5,6
2,52,31,3,4,6
3,1,33,1,5,6
3,1,33,2,4,5
3,1,33,3,4,6
3,2,27,1,4,5
3,2,27,2,4,6
3,2,27,3,5,6
3,3,37,1,4,7
3,3,37,2,4,6
3,3,37,3,3,6
3,4,18,1,1,2
3,4,18,2,1,3
3,4,18,3,2,3
3,5,10,1,3,7
3,5,10,2,3,8
3,5,10,3,4,7
3,6,31,1,5,6
3,6,31,2,5,5
3,6,31,3,4,5
3,7,63,1,2,5
3,7,63,2,2,6
3,7,63,3,3,5
3,8,32,1,3,6
3,8,32,2,2,6
3,8,32,3,2,5
3,9,26,1,3,5
3,9,26,2,2,5
3,9,26,3,2,6
3,10,44,1,1,5
3,10,44,2,1,6
3,10,44,3,2,5
3,11,19,1,2,6
3,11,19,2,2,7
3,11,19,3,3,6
3,12,25,1,5,9
3,12,25,2,6,9
3,12,25,3,6,8
3,13,15,1,5,6
3,13,15,2,6,6
3,13,15,3,5,6
3,14,28,1,4,4
3,14,28,2,3,4
3,14,28,3,3,5
3,15,12,1,4,6
3,15,12,2,4,5
3,15,12,3,3,6
3,16,58,1,2,6
3,16,58,2,2,7
3,16,58,3,1,6
3,17,23,1,5,6
3,17,23,2,4,6
3,17,23,3,4,7
3,18,11,1,3,6
3,18,11,2,2,6
3,18,11,3,3,5
3,19,47,1,1,6
3,19,47,2,1,5
3,19,47,3,1,6
3,20,30,1,4,6
3,20,30,2,5,6
3,20,30,3,4,5
3,21,54,1,3,5
3,21,54,2,4,5
3,21,54,3,5,5
3,22,53,1,2,5
3,22,53,2,2,4
3,22,53,3,3,5
3,23,13,1,3,5
3,23,13,2,2,5
3,23,13,3,2,6
3,24,46,1,4,6
3,24,46,2,5,6
3,24,46,3,3,5
3,25,16,1,4,3
3,25,16,2,4,4
3,25,16,3,3,4
3,26,80,1,4,5
3,26,80,2,5,5
3,26,80,3,5,6
3,27,83,1,1,6
3,27,83,2,2,6
3,27,83,3,2,6
3,28,64,1,2,8
3,28,64,2,2,9
3,28,64,3,1,9
3,30,82,1,5,4
3,30,82,2,5,5
3,30,82,3,4,5
3,31,2,1,4,5
3,31,2,2,4,6
3,31,2,3,3,6
3,32,48,1,2,6
3,32,48,2,1,6
3,32,48,3,1,5
3,33,42,1,4,5
3,33,42,2,4,6
3,33,42,3,5,5
3,34,84,1,2,6
3,34,84,2,3,6
3,34,84,3,4,5
3,35,29,1,3,6
3,35,29,2,2,6
3,35,29,3,3,5
3,36,51,1,1,5
3,36,51,2,1,6
3,36,51,3,2,5
3,38,45,1,2,5
3,38,45,2,1,5
3,38,45,3,3,5
3,39,67,1,1,7
3,39,67,2,2,7
3,39,67,3,2,6
3,40,60,1,3,5
3,40,60,2,4,5
3,40,60,3,4,5
3,41,3,1,2,5
3,41,3,2,1,6
3,41,3,3,2,6
3,42,57,1,2,5
3,42,57,2,2,6
3,42,57,3,3,5
3,43,7,1,4,6
3,43,7,2,4,5
3,43,7,3,5,5
3,44,36,1,2,5
3,44,36,2,1,5
3,44,36,3,2,4
3,45,50,1,3,5
3,45,50,2,4,6
3,45,50,3,3,6
3,46,40,1,2,4
3,46,40,2,2,5
3,46,40,3,3,4
3,47,1,1,4,6
3,47,1,2,3,6
3,47,1,3,4,5
3,48,61,1,4,9
3,48,61,2,4,8
3,48,61,3,5,8
3,49,22,1,2,5
3,49,22,2,3,5
3,49,22,3,3,6
3,50,24,1,1,3
3,50,24,2,3,8
3,50,24,3,2,8
3,51,35,1,4,6
3,51,35,2,4,5
3,51,35,3,5,6
3,52,65,1,3,5
3,52,65,2,3,6
3,52,65,3,3,6
4,1,53,1,4,5
4,1,53,2,5,5
4,1,53,3,3,5
4,2,13,1,4,4
4,2,13,2,4,3
4,2,13,3,3,4
4,3,83,1,2,6
4,3,83,2,2,5
4,3,83,3,1,6
4,4,50,1,4,7
4,4,50,2,3,7
4,4,50,3,4,5
4,5,25,1,5,9
4,5,25,2,6,9
4,5,25,3,5,10
4,6,27,1,4,5
4,6,27,2,4,6
4,6,27,3,3,6
4,7,15,1,6,6
4,7,15,2,6,5
4,7,15,3,5,6
4,8,61,1,5,7
4,8,61,2,4,7
4,8,61,3,5,8
4,9,35,1,4,7
4,9,35,2,5,6
4,9,35,3,4,6
4,10,26,1,3,5
4,10,26,2,4,5
4,10,26,3,5,5
4,11,57,1,3,7
4,11,57,2,3,6
4,11,57,3,2,6
4,12,80,1,4,4
4,12,80,2,4,5
4,12,80,3,5,6
4,13,64,1,4,6
4,13,64,2,5,6
4,13,64,3,3,6
4,14,12,1,5,4
4,14,12,2,5,5
4,14,12,3,6,4
4,15,40,1,2,4
4,15,40,2,3,4
4,15,40,3,3,5
4,16,30,1,5,6
4,16,30,2,4,6
4,16,30,3,6,6
4,17,51,1,2,5
4,17,51,2,1,5
4,17,51,3,2,6
4,18,54,1,2,5
4,18,54,2,2,6
4,18,54,3,3,5
4,19,63,1,3,5
4,19,63,2,3,6
4,19,63,3,4,5
4,20,82,1,5,4
4,20,82,2,6,4
4,20,82,3,5,5
4,21,48,1,2,6
4,21,48,2,1,6
4,21,48,3,3,6
4,22,11,1,3,6
4,22,11,2,2,6
4,22,11,3,1,6
4,23,33,1,5,6
4,23,33,2,4,6
4,23,33,3,4,5
4,24,23,1,4,7
4,24,23,2,5,7
4,24,23,3,4,6
4,25,84,1,2,6
4,25,84,2,1,6
4,25,84,3,3,6
4,27,37,1,2,6
4,27,37,2,2,7
4,27,37,3,3,7
4,28,24,1,3,8
4,28,24,2,2,8
4,28,24,3,3,8
4,29,10,1,3,6
4,29,10,2,3,6
4,29,10,3,3,6
4,30,19,1,4,6
4,30,19,2,3,6
4,30,19,3,3,6
4,31,65,1,3,5
4,31,65,2,2,6
4,31,65,3,3,6
4,32,22,1,2,6
4,32,22,2,2,7
4,32,22,3,1,6
4,34,16,1,2,7
4,34,16,2,3,8
4,34,16,3,3,8
4,35,1,1,3,8
4,35,1,2,2,8
4,35,1,3,3,8
4,36,58,1,2,6
4,36,58,2,2,7
4,36,58,3,2,6
4,37,29,1,3,6
4,37,29,2,2,6
4,37,29,3,3,6
4,38,36,1,1,5
4,38,36,2,1,6
4,38,36,3,2,5
4,39,67,1,2,7
4,39,67,2,1,7
4,39,67,3,2,7
4,40,2,1,3,5
4,40,2,2,3,6
4,40,2,3,3,5
4,41,46,1,4,5
4,41,46,2,4,6
4,41,46,3,4,6
4,42,7,1,5,5
4,42,7,2,5,6
4,42,7,3,5,5
4,43,28,1,4,6
4,43,28,2,4,7
4,43,28,3,4,6
4,44,60,1,2,5
4,44,60,2,3,6
4,44,60,3,3,5
4,45,45,1,3,6
4,45,45,2,2,5
4,45,45,3,2,5
4,46,44,1,2,5
4,46,44,2,2,4
4,46,44,3,2,5
4,47,3,1,2,5
4,47,3,2,2,6
4,47,3,3,2,5
4,48,47,1,1,6
4,48,47,2,1,5
4,48,47,3,1,6
4,49,18,1,1,3
4,49,18,2,1,2
4,49,18,3,1,3
4,50,32,1,3,6
4,50,32,2,2,6
4,50,32,3,3,6
4,51,31,1,5,7
4,51,31,2,5,6
4,51,31,3,4,6
4,52,42,1,4,6
4,52,42,2,5,6
4,52,42,3,5,6
5,1,30,1,5,6
5,1,30,2,6,6
5,1,30,3,6,7
5,2,16,1,4,4
5,2,16,2,4,3
5,2,16,3,3,3
5,3,83,1,1,6
5,3,83,2,2,6
5,3,83,3,1,7
5,5,37,1,3,6
5,5,37,2,2,7
5,5,37,3,2,6
5,6,2,1,2,5
5,6,2,2,2,6
5,6,2,3,3,6
5,7,53,1,3,5
5,7,53,2,4,5
5,7,53,3,3,4
5,8,28,1,6,3
5,8,28,2,4,6
5,8,28,3,5,6
5,9,65,1,3,6
5,9,65,2,3,7
5,9,65,3,3,5
5,10,10,1,3,6
5,10,10,2,3,7
5,10,10,3,2,6
5,11,7,1,5,6
5,11,7,2,5,5
5,11,7,3,4,6
5,12,23,1,5,6
5,12,23,2,4,7
5,12,23,3,6,5
5,13,58,1,2,6
5,13,58,2,2,5
5,13,58,3,2,4
5,14,40,1,2,4
5,14,40,2,2,5
5,14,40,3,3,5
5,15,24,1,1,4
5,15,24,2,3,8
5,15,24,3,3,7
5,16,64,1,5,7
5,16,64,2,4,6
5,16,64,3,3,5
5,17,51,1,2,6
5,17,51,2,2,5
5,17,51,3,1,5
5,18,47,1,1,6
5,18,47,2,1,5
5,18,47,3,2,5
5,19,36,1,3,5
5,19,36,2,1,5
5,19,36,3,2,5
5,20,63,1,3,5
5,20,63,2,3,6
5,20,63,3,2,5
5,21,29,1,2,7
5,21,29,2,3,6
5,21,29,3,2,6
5,22,26,1,3,5
5,22,26,2,4,6
5,22,26,3,3,6
5,23,44,1,2,5
5,23,44,2,3,5
5,23,44,3,3,6
5,24,33,1,5,6
5,24,33,2,6,6
5,24,33,3,4,6
5,25,32,1,3,6
5,25,32,2,3,5
5,25,32,3,2,6
5,26,31,1,4,6
5,26,31,2,4,4
5,26,31,3,4,3
5,27,25,1,5,9
5,27,25,2,5,8
5,27,25,3,6,9
5,28,80,1,4,5
5,28,80,2,5,4
5,28,80,3,5,5
5,29,11,1,3,6
5,29,11,2,2,6
5,29,11,3,2,5
5,30,35,1,4,7
5,30,35,2,5,6
5,30,35,3,4,6
5,31,18,1,1,3
5,31,18,2,1,4
5,31,18,3,1,2
5,32,27,1,2,6
5,32,27,2,2,7
5,32,27,3,3,6
5,33,19,1,2,5
5,33,19,2,2,6
5,33,19,3,3,6
5,34,57,1,3,7
5,34,57,2,2,6
5,34,57,3,2,5
5,35,22,1,1,5
5,35,22,2,1,6
5,35,22,3,2,6
5,36,15,1,5,6
5,36,15,2,5,7
5,36,15,3,6,6
