id,order,image,click,row,col
1,1,7,1,3,6
1,1,7,2,2,6
1,1,7,3,2,5
1,2,50,1,2,3
1,2,50,2,1,5
1,2,50,3,2,5
1,3,42,1,2,8
1,3,42,2,2,7
1,3,42,3,1,8
1,4,46,1,2,6
1,4,46,2,1,5
1,4,46,3,2,5
1,5,28,1,2,7
1,5,28,2,2,8
1,5,28,3,1,7
1,6,33,1,2,6
1,6,33,2,1,5
1,6,33,3,1,6
1,7,34,1,2,8
1,7,34,2,3,9
1,7,34,3,3,8
1,8,12,1,2,4
1,8,12,2,3,3
1,8,12,3,3,4
1,9,36,1,3,5
1,9,36,2,3,4
1,9,36,3,4,4
1,10,4,1,2,5
1,10,4,2,1,5
1,10,4,3,2,4
1,11,30,1,2,6
1,11,30,2,2,5
1,11,30,3,1,5
1,12,22,1,3,9
1,12,22,2,3,8
1,12,22,3,2,8
1,13,19,1,3,6
1,13,19,2,2,6
1,13,19,3,2,7
1,14,16,1,4,8
1,14,16,2,2,8
1,14,16,3,3,8
1,16,25,1,3,7
1,16,25,2,3,6
1,16,25,3,2,7
1,17,11,1,3,5
1,17,11,2,2,5
1,17,11,3,2,6
1,18,10,1,3,5
1,18,10,2,2,5
1,18,10,3,3,6
1,20,17,1,2,5
1,20,17,2,2,4
1,20,17,3,3,4
1,21,2,1,2,5
1,21,2,2,2,6
1,21,2,3,1,5
1,22,18,1,2,4
1,22,18,2,2,5
1,22,18,3,2,6
1,23,15,1,2,5
1,23,15,2,2,6
1,23,15,3,1,5
1,24,37,1,3,3
1,24,37,2,3,2
1,24,37,3,2,2
1,25,49,1,2,7
1,25,49,2,2,8
1,25,49,3,3,7
1,26,39,1,3,6
1,26,39,2,3,7
1,26,39,3,2,7
1,27,8,1,3,5
1,27,8,2,3,6
1,27,8,3,3,7
1,28,43,1,1,7
1,28,43,2,1,8
1,28,43,3,2,7
1,29,6,1,2,5
1,29,6,2,2,6
1,29,6,3,1,5
1,30,29,1,2,8
1,30,29,2,3,8
1,30,29,3,2,7
1,31,48,1,2,5
1,31,48,2,2,4
1,31,48,3,3,5
1,32,24,1,3,5
1,32,24,2,3,6
1,32,24,3,2,5
1,33,44,1,2,7
1,33,44,2,2,6
1,33,44,3,3,7
1,34,26,1,4,6
1,34,26,2,5,6
1,34,26,3,5,5
1,35,32,1,3,6
1,35,32,2,2,6
1,35,32,3,2,5
1,36,38,1,2,6
1,36,38,2,2,7
1,36,38,3,3,7
1,37,1,1,3,6
1,37,1,2,2,6
1,37,1,3,2,5
1,38,14,1,1,5
1,38,14,2,1,6
1,38,14,3,1,7
1,39,21,1,3,5
1,39,21,2,2,5
1,39,21,3,2,6
1,40,3,1,3,7
1,40,3,2,3,8
1,40,3,3,2,8
1,41,41,1,2,7
1,41,41,2,3,7
1,41,41,3,3,6
1,42,13,1,3,7
1,42,13,2,2,7
1,42,13,3,1,7
1,43,35,1,2,6
1,43,35,2,2,7
1,43,35,3,3,6
1,44,47,1,3,4
1,44,47,2,2,5
1,44,47,3,3,5
1,45,31,1,2,5
1,45,31,2,2,6
1,45,31,3,2,7
1,46,40,1,3,3
1,46,40,2,2,3
1,46,40,3,3,4
1,47,5,1,3,4
1,47,5,2,2,5
1,47,5,3,2,6
1,48,23,1,3,5
1,48,23,2,4,5
1,48,23,3,4,4
1,49,27,1,2,3
1,49,27,2,2,4
1,49,27,3,2,5
1,50,20,1,2,3
1,50,20,2,2,4
1,50,20,3,3,4
1,51,45,1,3,8
1,51,45,2,3,9
1,51,45,3,4,9
1,52,9,1,2,6
1,52,9,2,2,5
1,52,9,3,2,4
2,1,9,1,2,3
2,1,9,2,2,4
2,1,9,3,3,4
2,2,24,1,3,6
2,2,24,2,3,5
2,2,24,3,4,5
2,3,25,1,3,7
2,3,25,2,3,6
2,3,25,3,2,7
2,4,21,1,2,5
2,4,21,2,1,5
2,4,21,3,3,5
2,5,46,1,2,5
2,5,46,2,2,6
2,5,46,3,2,7
2,6,17,1,3,4
2,6,17,2,2,4
2,6,17,3,2,5
2,7,43,1,1,7
2,7,43,2,1,8
2,7,43,3,2,8
2,8,18,1,2,4
2,8,18,2,2,5
2,8,18,3,2,6
2,9,41,1,3,6
2,9,41,2,2,6
2,9,41,3,1,6
2,10,48,1,2,5
2,10,48,2,3,5
2,10,48,3,1,5
2,11,5,1,2,5
2,11,5,2,3,5
2,11,5,3,2,6
2,12,29,1,3,8
2,12,29,2,3,7
2,12,29,3,2,7
2,13,13,1,5,3
2,13,13,2,5,4
2,13,13,3,5,9
2,14,31,1,5,8
2,14,31,2,4,8
2,14,31,3,4,7
2,15,12,1,2,4
2,15,12,2,3,3
2,15,12,3,3,4
2,16,23,1,4,4
2,16,23,2,3,4
2,16,23,3,4,5
2,17,8,1,3,6
2,17,8,2,3,7
2,17,8,3,3,5
2,18,2,1,2,5
2,18,2,2,2,6
2,18,2,3,1,6
2,19,40,1,3,3
2,19,40,2,2,3
2,19,40,3,2,4
2,20,6,1,3,5
2,20,6,2,3,6
2,20,6,3,2,5
2,21,45,1,3,7
2,21,45,2,2,8
2,21,45,3,2,7
2,22,44,1,2,7
2,22,44,2,2,6
2,22,44,3,1,7
2,24,19,1,2,7
2,24,19,2,2,6
2,24,19,3,1,7
2,25,34,1,3,9
2,25,34,2,3,8
2,25,34,3,4,8
2,26,39,1,3,7
2,26,39,2,2,7
2,26,39,3,1,7
2,27,49,1,2,7
2,27,49,2,2,8
2,27,49,3,1,7
2,28,36,1,3,5
2,28,36,2,2,5
2,28,36,3,4,4
2,29,26,1,5,6
2,29,26,2,4,6
2,29,26,3,4,5
2,30,50,1,2,3
2,30,50,2,2,4
2,30,50,3,1,4
2,31,15,1,2,5
2,31,15,2,2,6
2,31,15,3,3,5
2,32,28,1,2,7
2,32,28,2,3,7
2,32,28,3,1,7
2,33,30,1,2,5
2,33,30,2,1,5
2,33,30,3,3,5
2,34,47,1,3,4
2,34,47,2,2,5
2,34,47,3,3,5
2,35,38,1,3,7
2,35,38,2,2,7
2,35,38,3,2,6
2,36,7,1,3,6
2,36,7,2,2,6
2,36,7,3,2,5
2,37,33,1,2,5
2,37,33,2,1,5
2,37,33,3,2,6
2,38,14,1,1,6
2,38,14,2,2,6
2,38,14,3,3,6
2,39,42,1,1,8
2,39,42,2,2,8
2,39,42,3,3,7
2,40,22,1,2,9
2,40,22,2,3,9
2,40,22,3,1,9
2,41,11,1,4,5
2,41,11,2,3,5
2,41,11,3,3,6
2,42,27,1,3,4
2,42,27,2,2,3
2,42,27,3,2,4
2,43,10,1,2,7
2,43,10,2,2,6
2,43,10,3,3,6
2,44,1,1,3,6
2,44,1,2,3,5
2,44,1,3,2,6
2,45,4,1,2,5
2,45,4,2,2,6
2,45,4,3,2,4
2,46,32,1,2,6
2,46,32,2,2,5
2,46,32,3,3,5
2,47,35,1,2,6
2,47,35,2,2,7
2,47,35,3,3,6
2,49,37,1,3,3
2,49,37,2,3,4
2,49,37,3,3,5
2,50,20,1,2,3
2,50,20,2,2,2
2,50,20,3,2,4
2,51,3,1,3,7
2,51,3,2,3,6
2,51,3,3,2,6
2,52,16,1,4,8
2,52,16,2,3,8
2,52,16,3,3,7
3,1,6,1,3,5
3,1,6,2,3,6
3,1,6,3,4,5
3,2,17,1,5,6
3,2,17,2,3,5
3,2,17,3,5,4
3,3,5,1,2,4
3,3,5,2,2,5
3,3,5,3,3,5
3,4,37,1,4,3
3,4,37,2,3,2
3,4,37,3,4,2
3,5,43,1,1,7
3,5,43,2,1,6
3,5,43,3,2,7
3,6,31,1,5,8
3,6,31,2,4,8
3,6,31,3,4,7
3,7,38,1,2,7
3,7,38,2,1,7
3,7,38,3,3,7
3,8,22,1,3,9
3,8,22,2,2,9
3,8,22,3,4,9
3,9,49,1,3,8
3,9,49,2,3,7
3,9,49,3,2,8
3,10,16,1,4,8
3,10,16,2,3,8
3,10,16,3,2,8
3,11,23,1,4,4
3,11,23,2,3,4
3,11,23,3,2,4
3,12,9,1,2,5
3,12,9,2,2,4
3,12,9,3,2,3
3,13,41,1,2,6
3,13,41,2,1,6
3,13,41,3,3,6
3,14,34,1,4,9
3,14,34,2,3,9
3,14,34,3,3,8
3,15,2,1,2,6
3,15,2,2,2,5
3,15,2,3,1,6
3,16,8,1,3,7
3,16,8,2,2,6
3,16,8,3,2,7
3,17,36,1,3,4
3,17,36,2,3,5
3,17,36,3,2,4
3,18,32,1,3,7
3,18,32,2,3,6
3,18,32,3,2,6
3,19,14,1,1,6
3,19,14,2,1,5
3,19,14,3,2,5
3,20,7,1,3,6
3,20,7,2,2,6
3,20,7,3,3,5
3,21,29,1,3,8
3,21,29,2,2,8
3,21,29,3,2,7
3,22,50,1,3,3
3,22,50,2,2,3
3,22,50,3,2,5
3,23,19,1,3,7
3,23,19,2,2,7
3,23,19,3,1,6
3,24,45,1,3,6
3,24,45,2,3,9
3,24,45,3,1,7
3,25,28,1,3,8
3,25,28,2,2,8
3,25,28,3,1,8
3,26,39,1,3,7
3,26,39,2,2,7
3,26,39,3,3,6
3,27,18,1,2,4
3,27,18,2,1,5
3,27,18,3,1,4
3,28,26,1,5,5
3,28,26,2,4,5
3,28,26,3,4,6
3,29,15,1,2,5
3,29,15,2,2,4
3,29,15,3,3,5
3,30,13,1,1,7
3,30,13,2,2,6
3,30,13,3,5,5
3,31,27,1,2,3
3,31,27,2,2,2
3,31,27,3,1,3
3,32,46,1,2,4
3,32,46,2,2,5
3,32,46,3,1,6
3,33,4,1,2,5
3,33,4,2,1,5
3,33,4,3,1,4
3,34,42,1,2,8
3,34,42,2,1,8
3,34,42,3,4,8
3,35,44,1,2,7
3,35,44,2,2,8
3,35,44,3,1,7
3,36,48,1,2,5
3,36,48,2,1,5
3,36,48,3,3,5
3,37,11,1,3,5
3,37,11,2,4,5
3,37,11,3,4,4
3,38,10,1,2,6
