image,x,y,width,height,gt_x,gt_y,cell
2,164,324.5,14,25,213.75,236.953125,D4;E4
9,184,116,20,32,242.5,92.8125,B4
12,282.5,304,23,34,367.5,225.703125,D6;E6
73,127.5,378.5,19,31,171.25,277.03125,E3
354,259,379.5,24,45,338.75,282.65625,E6;F6
371,157.5,304,21,38,210.0,227.109375,D4;E4
163,90.5,250,27,44,130.0,191.25,C2;C3;D2;D3
31,231,333,28,44,306.25,249.609375,D5;D6;E5;E6
190,226,380.5,32,57,302.5,287.578125,E5;F5
39,309,342,22,38,400.0,253.828125,D7;E7
0,294,305.5,20,35,380.0,227.109375,D6;D7;E6;E7
5,115.5,419.5,31,57,163.75,315.0,E3;F3
464,365,374.5,26,43,472.5,278.4375,E8
24,309,431.5,26,37,402.5,316.40625,E7;F7
28,298.5,315,23,36,387.5,234.140625,D6;D7;E6;E7
226,245,360.5,28,51,323.75,271.40625,E5;E6
277,184.5,392,25,38,246.25,288.984375,E4;E5;F4;F5
230,227,376,26,42,300.0,279.140625,E5;F5
75,202,422.5,20,33,265.0,308.671875,E4;E5;F4;F5
4,217,430.5,28,47,288.75,319.21875,E5;F5
217,301.5,392.5,23,39,391.25,289.6875,E6;E7;F6;F7
245,325.5,380.5,31,55,426.25,286.875,E7;F7
21,275.5,259.5,23,41,358.75,196.875,C6;D6
32,404.5,412.5,27,45,522.5,305.859375,E8;E9;F8;F9
46,106.5,383,33,52,153.75,287.578125,E3;F3
53,336.5,332.5,7,9,425.0,236.953125,D7;E7
250,212,111,18,30,276.25,88.59375,B5
78,246.5,188.5,15,27,317.5,142.03125,C5;C6
291,319,339,22,40,412.5,252.421875,D7;E7
13,177.5,310.0,23,34,236.25,229.921875,D4;E4
30,212.5,211.5,23,37,280.0,161.71875,C5;D5
36,123.5,417,15,22,163.75,300.9375,E3;F3
44,198,326.5,20,41,260.0,243.984375,D4;D5;E4;E5
224,164,108,12,16,212.5,81.5625,B4
56,33,277,10,14,47.5,199.6875,D1
66,310.5,302.5,11,21,395.0,220.078125,D7
94,251.5,176.5,19,33,326.25,135.703125,B5;B6;C5;C6
212,370.5,185.5,11,17,470.0,136.40625,C8
222,299,322.5,18,31,385.0,237.65625,D6;D7;E6;E7
3,252,327,24,40,330.0,243.984375,D5;D6;E5;E6
303,387.5,362.5,15,25,493.75,263.671875,E8
45,140.5,331,7,10,180.0,236.25,D3;E3
223,265,152.5,14,23,340.0,115.3125,B6;C6
62,305,264,8,12,386.25,189.84375,D6;D7
71,112.5,407,31,50,160.0,303.75,E3;F3
79,120,356,4,6,152.5,252.421875,E3
154,272,342.5,22,31,353.75,251.71875,D6;E6
389,312.5,290,7,12,395.0,208.125,D7
312,256,143.5,12,17,327.5,106.875,B6
302,190.5,358.5,25,43,253.75,267.1875,E4;E5
309,155.5,375,25,44,210.0,279.140625,E4;F4
347,240.5,393.5,25,43,316.25,291.796875,E5;E6;F5;F6
