sport,level,respondent_type,model,participant_id,image,image_file,iteration,pred_cell,pred_row,pred_col,gt_cells,correct,parse_failed,is_control,in_human_set
basketball,,human,,1,44,44,1,B5,2,5,A5;B5,True,False,False,True
basketball,,human,,1,44,44,2,C5,3,5,A5;B5,False,False,False,True
basketball,,human,,1,44,44,3,A5,1,5,A5;B5,True,False,False,True
basketball,,human,,1,1,1,1,D5,4,5,A7;A8;B7;B8,False,False,False,True
basketball,,human,,1,1,1,2,D6,4,6,A7;A8;B7;B8,False,False,False,True
basketball,,human,,1,1,1,3,E5,5,5,A7;A8;B7;B8,False,False,False,True
basketball,,human,,1,10,10,1,C5,3,5,A5;B5,False,False,False,True
basketball,,human,,1,10,10,2,B5,2,5,A5;B5,True,False,False,True
basketball,,human,,1,10,10,3,B4,2,4,A5;B5,False,False,False,True
basketball,,human,,1,63,63,1,C5,3,5,A5;B5,False,False,False,True
basketball,,human,,1,63,63,2,D5,4,5,A5;B5,False,False,False,True
basketball,,human,,1,63,63,3,D6,4,6,A5;B5,False,False,False,True
basketball,,human,,1,18,18,1,A3,1,3,A2;A3,True,False,False,True
basketball,,human,,1,18,18,2,A2,1,2,A2;A3,True,False,False,True
basketball,,human,,1,18,18,3,A4,1,4,A2;A3,False,False,False,True
basketball,,human,,1,61,61,1,E3,5,3,E8;F8,False,False,False,True
basketball,,human,,1,61,61,2,D3,4,3,E8;F8,False,False,False,True
basketball,,human,,1,61,61,3,D7,4,7,E8;F8,False,False,False,True
basketball,,human,,1,3,3,1,B5,2,5,B5;B6,True,False,False,True
basketball,,human,,1,3,3,2,B6,2,6,B5;B6,True,False,False,True
basketball,,human,,1,3,3,3,C5,3,5,B5;B6,False,False,False,True
basketball,,human,,1,26,26,1,D6,4,6,C5;C6,False,False,False,True
basketball,,human,,1,26,26,2,D7,4,7,C5;C6,False,False,False,True
basketball,,human,,1,26,26,3,C6,3,6,C5;C6,True,False,False,True
basketball,,human,,1,45,45,1,B5,2,5,B5;B6,True,False,False,True
basketball,,human,,1,45,45,2,C6,3,6,B5;B6,False,False,False,True
basketball,,human,,1,45,45,3,C5,3,5,B5;B6,False,False,False,True
basketball,,human,,1,65,65,1,C5,3,5,A5;A6;B5;B6,False,False,False,True
basketball,,human,,1,65,65,2,C6,3,6,A5;A6;B5;B6,False,False,False,True
basketball,,human,,1,65,65,3,F7,6,7,A5;A6;B5;B6,False,False,False,True
basketball,,human,,1,83,83,1,B6,2,6,A5,False,False,False,True
basketball,,human,,1,83,83,2,A7,1,7,A5,False,False,False,True
basketball,,human,,1,83,83,3,A6,1,6,A5,False,False,False,True
basketball,,human,,1,32,32,1,C6,3,6,B6;C6,True,False,False,True
basketball,,human,,1,32,32,2,C5,3,5,B6;C6,False,False,False,True
basketball,,human,,1,32,32,3,D6,4,6,B6;C6,False,False,False,True
basketball,,human,,1,12,12,1,D4,4,4,C3;C4;D3;D4,True,False,False,True
basketball,,human,,1,12,12,2,E4,5,4,C3;C4;D3;D4,False,False,False,True
basketball,,human,,1,12,12,3,C4,3,4,C3;C4;D3;D4,True,False,False,True
basketball,,human,,1,40,40,1,B4,2,4,A4,False,False,False,True
basketball,,human,,1,40,40,2,C4,3,4,A4,False,False,False,True
basketball,,human,,1,40,40,3,B5,2,5,A4,False,False,False,True
basketball,,human,,1,15,15,1,E6,5,6,E6;E7;F6;F7,True,False,False,True
basketball,,human,,1,15,15,2,F6,6,6,E6;E7;F6;F7,True,False,False,True
basketball,,human,,1,15,15,3,F7,6,7,E6;E7;F6;F7,True,False,False,True
basketball,,human,,1,23,23,1,D6,4,6,C5;C6,False,False,False,True
basketball,,human,,1,23,23,2,D7,4,7,C5;C6,False,False,False,True
basketball,,human,,1,23,23,3,D5,4,5,C5;C6,False,False,False,True
basketball,,human,,1,54,54,1,D5,4,5,B4;B5;C4;C5,False,False,False,True
basketball,,human,,1,54,54,2,C5,3,5,B4;B5;C4;C5,True,False,False,True
basketball,,human,,1,54,54,3,E4,5,4,B4;B5;C4;C5,False,False,False,True
basketball,,human,,1,28,28,1,D6,4,6,D6;E6,True,False,False,True
basketball,,human,,1,28,28,2,E6,5,6,D6;E6,True,False,False,True
basketball,,human,,1,28,28,3,D7,4,7,D6;E6,False,False,False,True
basketball,,human,,1,60,60,1,B6,2,6,A5,False,False,False,True
