id,order,image,response
1,1,13,Looking at the hand movement and the eyesight
1,2,22,"Where the eyes are gazing, and also previous basketball experience"
1,3,28,"The hand is dribbling, and the eyes are located in that area."
1,4,29,This is based off where the eyes are following and seeing the person already had shot the ball.
1,5,30,Dribbling with the left hand and the eyes and knowing the movement.
1,6,37,Eye focus of the players.
1,7,42,"Dribbling and where his hands are placed, and where the defender's eyes are."
1,8,44,Players eye the location of the ball and the rim.
1,9,57,Shooting the ball so looking at defenders the ball is close to the shooter.
1,10,81,Because the ball is there in the image.
2,1,10,Their eyes are facing that spot.
2,2,26,One player is in the air
2,3,28,Eyes seem to be facing those spots.
2,4,30,it has to be there.
2,5,36,eyes facing those squares
2,6,45,based on the shot
2,7,48,everyone looking up
2,8,57,jumping
2,9,63,shooting actively.
2,10,81,ball is visible.
3,1,2,Body motion leaning and eye sight.
3,2,27,"Eyesight, arm still up, net"
3,3,29,"eyesight, arm motion"
3,4,33,"hand, foot and eyesight"
3,5,46,hand in white and eyesight
3,6,50,Everyone in that one area and where hand is
3,7,53,"running toward, eyesight"
3,8,58,all hands up and position of hands
3,9,63,I had no idea on this one.  It was a guess.
3,10,83,"hands, jumping, eyesight"
4,1,10,It appears as if the USA player maybe holding the ball before making a pass.
4,2,19,It looks like all the players are looking up at the ball being thrown for a shot.
4,3,25,The eyes of the players appear to be focused in this region.
4,4,33,The man in white is dribbling the ball clearly.
4,5,40,All of the players are looking up at towards the net suggesting the ball is in the air.
4,6,42,The man in white is dribbling the ball.
4,7,48,The ball may be in mid air for a shot.
4,8,61,The player in white is trying to dribble the ball past his fellow team mate that's helping to guard him.
4,9,67,Both players are jumping up towards the net.
4,10,82,The player in blue is trying to dribble past the player in white.
5,1,12,because of the position of the player in blue jersey
5,2,13,"looks like a dunk contest, the ball was either blocked or in the net"
5,3,15,i guess the player in white jersey is bouncing ball and attempting a dribble
5,4,19,all the players are looking at the same directions/block
5,5,25,"I can't really tell where the ball is, this was a random guess."
5,6,28,"I can't tell who has the ball because the opponent were on defense, so I guessed the ball should be with either of the two attacking player"
5,7,40,all the players where looking at the basket
5,8,53,all the players in white jersey were focusing on the player in red jersey. I guess he was bouncing the ball while on motion.
5,9,64,this was a random guess
5,10,83,I think the player in white jersey jumped and threw the ball in the basket because the other players were also looking at the basket
6,1,10,looks the player carrying the ball.
6,2,16,Looked the player was dribbling the ball.
6,3,22,I felt the players were looking at the ball.
6,4,26,I believed the player was passing the ball.
6,5,27,I felt the player in the white just dunked the ball.
6,6,28,I believed the player is dribbling the ball.
6,7,30,I Felt the player in white had the ball in his left hand.
6,8,54,I feel the player just dunked the ball.
6,9,57,The player has the ball in his hands and is about to make to take a shot.
6,10,61,I believe either player could have the ball.
7,1,7,Because I thought he was bouncing the ball in one of these square. I am guessing it was close to his hand based on the shape.
7,2,11,Based on the way the player had his hands in the air and also the way that the other players were looking. I am guessing the player in the white was trying to make a shot and it was close to the basket.
7,3,15,The player in white is looking at the ground and has his hand extended in a way that makes me think he is bouncing the ball close to the ground.
7,4,35,"This one was more difficult to guess, but I think maybe he was dribbling in and the guy to his right was trying to block him."
7,5,42,Hard to tell which player had the ball here. I think it could have been in either players possession.
7,6,44,Based on where they are looking it appears it is close to the basket.
7,7,47,The player in white most likely just made a basket based on his positioning and extended hand.
7,8,64,I wasn't really sure what was going on in this shot so it was just a guess based on their positions and the way the players arm was extended in the front.
7,9,82,"Again, based on the positioning of hands, I would guess that the player in blue has the ball or was bouncing it close to the ground."
7,10,87,Because I can see the ball in his hand (player in red).
8,1,1,I followed  the way they're looking to
8,2,10,I followed  the way their hand
8,3,13,I followed  the way they're position
8,4,24,I followed  the way they're looking to recieve the ball
8,5,35,I followed  the way their hand & looking path
8,6,50,I followed their looking path
8,7,51,I followed hand & posiotion & look
8,8,53,I followed hand & posiotion
8,9,61,I followed hand & posiotion & look
8,10,83,I followed hand & posiotion & look
9,1,19,I chose the squares because it looks like a rebound. The ball looks like its coming out of the basket.
9,2,25,This looks like a turnover and the defender stole the ball.
9,3,31,"This looks like a player bouncing the ball up the court, and the defender is running to square up on him."
9,4,37,This looks like a missed basket and the players are looking up to get the rebound.
9,5,48,This is a missed basket and the players are waiting to rebound the ball.
9,6,53,This looks like a loose ball and the players are chasing for the ball.
9,7,57,This is a player attempting a long two and the defenders looking at the player attempt the shot.
9,8,58,This is a player attempting a shot and the defender put a hand to block his shot.
9,9,61,This is the player bouncing the ball in possession and his teammate setting up the screen on the defender. The player with the ball just tricked his defender.
9,10,80,This player is holding the ball waiting to give it to her teammate in front of her.
10,1,2,it seems that number 1 red has the ball and is looking to pass
10,2,19,a shot was taken and people are seeing where the rebound will land or if it will go in
10,3,22,it seems that number 13 has the ball and is dribbling to the basket
10,4,28,it looks like he is dribbling the ball how his bottom hand is
10,5,30,"he is clearly on offense, dribbling the ball"
10,6,32,a shot was taken and the players are looking up to either get the rebound or see if it is going in
10,7,35,he seems to be dribbling
10,8,40,a shot was taken and the players are all looking if it is going in
10,9,42,he is clearly dribbling the ball looking for an opening to take it to the hoop
10,10,64,She is dribbling the ball
11,1,12,I thought the ball would be where they are looking and where everyone's hands are.
11,2,29,Everyone is looking up and the man on the far left raising his hand up for a far shot.
11,3,30,The man on the right left hand is down as if he has the ball.
11,4,35,It could be on the left or right side. It's hard to tell.
11,5,45,The man in the white is jumping up as if the ball is in the hoop.
11,6,46,It looks like the girl in white is drippling the ball underneath her looks.
11,7,47,The guy in grey is jumping up and putting the ball in the hoop.
11,8,51,The guy in the blue is reaching up to put in the hoop.
11,9,65,It looks like the ball is passed to the guy in red.
11,10,80,The girl with the number 2 is dribbling the ball under her leg.
12,1,1,The person's arm is extended
12,2,2,The ball appears to be in the air
12,3,7,The person nearby is in possession of the ball
12,4,16,The person is dribbling the ball
12,5,19,The ball must be in the air
12,6,27,The ball may have already gone through the hoop
12,7,30,The person nearby has the ball
12,8,42,The person nearby has the ball
12,9,48,The ball is in the air
12,10,67,The ball must be in the air
13,1,10,The player in navy blue jersey is about to make a pass.
13,2,13,Looks like the player has scored.
13,3,16,Player with jersey number 8 is making a dribble pass.
13,4,27,Looks like the ball is coming off the hoop
13,5,28,Player making a dribble pass
13,6,32,Looks like the ball is coming off the hoop.
13,7,42,"Player is dibbling in the region.
"
13,8,57,Looks like the player is making a jump shot.
13,9,60,The ball is coming off the hoop and players are looking up.
13,10,64,The player is dribbling on that space while other players face there.
14,1,3,Because its where people are looking.
14,2,11,It's where the action is.
14,3,18,It looks like the guy just finished shooting the ball.
14,4,26,Just a wild guess.
14,5,42,A guess?
14,6,45,It looks like the ball was just shot and it's heading towards the net.
14,7,50,Looks like the guy in blue is pointing at the ball.
14,8,58,Just assuming because the guy in red just shot it.
14,9,65,People are looking that way.
14,10,87,I can see the ball.
15,1,12,Because the motion of the players and their reactions.
15,2,23,Because the players motion he passed the ball
15,3,24,Because the motion of the players.
15,4,27,the basketball goal net is swished
15,5,37,All the players are looking in that direction
15,6,47,Because the motion of the players and their reactions.
15,7,53,the player looks like he's dribbling
15,8,65,the player is in the middle of shooting the ball
15,9,67,the player is in the middle of shooting
15,10,84,Because the motion of the players and their reactions.
16,1,12,Because of hand placement
16,2,15,Because of hand placement
16,3,24,Because of hand placement
16,4,25,Because of where they are looking
16,5,37,Because of where they are looking
16,6,60,Because of where they are looking
16,7,61,Because of where they are looking
16,8,65,Because of where they are looking
16,9,80,complete guess
16,10,81,Because it is
17,1,1,The forward momentum of the player facing in that direction.
17,2,15,The player appears to be dribbling. his eyes appear to be on the ball.
17,3,35,The player in red appears to have the ball.
17,4,46,It looks like she has either just passed or just dribbled while jumping
17,5,50,The player in blue with their arm out stretched looks to be dribbling or ready to catch
17,6,57,The player in white looks like they just took a shot at the basket
17,7,60,All the players are looking at the basket as though they are waiting for the ball to drop
17,8,61,It looks as though the ball is in his hand.
17,9,63,The player has just taken a free throw
17,10,67,It looks as though the players are fighting over the ball as one player goes up for a shot at the basket
18,1,3,Not sure
18,2,7,The movement of the picture
18,3,19,They where looking up
18,4,23,Look like that’s where she was throwing
18,5,26,Movement
18,6,27,The net
18,7,33,His hand
18,8,36,Looking up
18,9,45,Shooting stance
18,10,51,His hand
19,1,3,The players' body language and focus are directed at that central point.
19,2,10,The players' attention and body positions are focused on the court.
19,3,16,The players' attention and body positions are focused on that spot on the ground.
19,4,28,"The players' attention is focused on that spot on the court, which is the logical position for the ball."
