id,order,image,click,row,col
1,1,30,1,4,3
1,1,30,2,4,4
1,1,30,3,3,3
1,2,31,1,4,6
1,2,31,2,5,7
1,2,31,3,5,6
1,3,28,1,4,8
1,3,28,2,4,7
1,3,28,3,3,7
1,4,56,1,4,7
1,4,56,2,3,7
1,4,56,3,3,8
1,5,224,1,4,1
1,5,224,2,4,2
1,5,224,3,3,1
1,6,71,1,4,5
1,6,71,2,4,4
1,6,71,3,3,4
1,7,291,1,4,7
1,7,291,2,3,8
1,7,291,3,4,8
1,8,21,1,4,3
1,8,21,2,3,3
1,8,21,3,3,4
1,9,39,1,3,8
1,9,39,2,3,8
1,9,39,3,3,8
1,10,62,1,4,8
1,10,62,2,4,7
1,10,62,3,4,9
1,11,36,1,5,3
1,11,36,2,5,3
1,11,36,3,5,3
1,12,24,1,5,6
1,12,24,2,5,7
1,12,24,3,4,7
1,13,354,1,5,3
1,13,354,2,4,3
1,13,354,3,5,2
1,14,0,1,4,6
1,14,0,2,4,6
1,14,0,3,4,6
1,15,73,1,5,9
1,15,73,2,6,9
1,15,73,3,6,10
1,16,190,1,5,6
1,16,190,2,5,7
1,16,190,3,6,6
1,17,44,1,4,9
1,17,44,2,5,9
1,17,44,3,4,8
1,18,79,1,4,4
1,18,79,2,4,4
1,18,79,3,4,4
1,19,2,1,4,8
1,19,2,2,4,7
1,19,2,3,5,8
1,21,32,1,4,6
1,21,32,2,5,6
1,21,32,3,4,6
1,22,75,1,5,7
1,22,75,2,6,7
1,22,75,3,6,8
1,23,13,1,4,6
1,23,13,2,5,6
1,23,13,3,4,5
1,24,9,1,4,6
1,24,9,2,5,6
1,24,9,3,5,5
1,25,154,1,5,5
1,25,154,2,4,5
1,25,154,3,5,5
1,26,226,1,5,7
1,26,226,2,5,8
1,26,226,3,4,7
1,27,222,1,5,8
1,27,222,2,5,9
1,27,222,3,5,8
1,28,250,1,5,7
1,28,250,2,6,7
1,28,250,3,6,7
1,29,45,1,4,1
1,29,45,2,4,2
1,29,45,3,4,4
1,30,277,1,6,6
1,30,277,2,5,6
1,30,277,3,5,7
1,31,245,1,5,10
1,31,245,2,5,9
1,31,245,3,6,9
1,32,46,1,5,5
1,32,46,2,5,4
1,32,46,3,5,5
1,33,309,1,5,5
1,33,309,2,5,5
1,33,309,3,5,5
1,34,223,1,5,6
1,34,223,2,5,5
1,34,223,3,5,4
1,35,371,1,5,8
1,35,371,2,5,7
1,35,371,3,4,7
1,36,5,1,4,4
1,36,5,2,3,4
1,36,5,3,4,3
1,37,53,1,4,7
1,37,53,2,5,6
1,37,53,3,5,7
1,38,464,1,5,4
1,38,464,2,5,5
1,38,464,3,5,6
1,39,217,1,5,6
1,39,217,2,6,6
