image,x,y,width,height,gt_x,gt_y,cell
63,288,72,40,37,385.0,63.6328125,A5;B5
60,273,29,29,24,359.375,28.828125,A5
48,342,47,47,44,456.875,48.515625,A5;A6;B5;B6
61,473,298,42,40,617.5,223.59375,E8;F8
65,326,62,23,19,421.875,50.2734375,A5;A6;B5;B6
64,431,111,40,43,563.75,93.1640625,B7;B8;C7;C8
58,326,20,37,33,430.625,25.6640625,A5;A6
67,408,15,40,41,535.0,24.9609375,A7
28,355,238,37,37,466.875,180.3515625,D6;E6
29,283,43,27,25,370.625,39.0234375,A5
15,364,272,58,56,491.25,210.9375,E6;E7;F6;F7
16,407,35,56,57,543.75,44.6484375,A6;A7;B6;B7
12,185,196,48,55,261.25,157.1484375,C3;C4;D3;D4
13,151,211,40,48,213.75,165.234375,D3
11,343,90,22,25,442.5,72.0703125,B6
10,277,75,42,45,372.5,68.5546875,A5;B5
35,370,205,25,27,478.125,153.6328125,D6
22,406,28,28,31,525.0,30.5859375,A7
36,274,7,35,37,364.375,17.9296875,A5
37,375,26,40,40,493.75,32.34375,A6;A7
23,327,150,54,45,442.5,121.2890625,C5;C6
27,315,176,36,37,416.25,136.7578125,C5;C6;D5;D6
33,338,244,57,56,458.125,191.25,D5;D6;E5;E6
32,356,112,24,24,460.0,87.1875,B6;C6
26,305,152,34,32,402.5,118.125,C5;C6
18,113,20,45,41,169.375,28.4765625,A2;A3
30,248,214,41,43,335.625,165.5859375,D4;D5
24,448,110,41,51,585.625,95.2734375,B7;B8;C7;C8
25,594,244,45,45,770.625,187.3828125,D10;D9;E10;E9
31,176,218,44,42,247.5,168.046875,D3;D4
19,331,155,28,28,431.25,118.828125,C5;C6
42,284,220,33,34,375.625,166.640625,D5
57,375,79,34,29,490.0,65.7421875,B6;B7
80,327,272,44,47,436.25,207.7734375,E5;E6
82,238,254,40,34,322.5,190.546875,D4;D5;E4;E5
7,302,264,35,37,399.375,198.6328125,E5
81,182,68,65,65,268.125,70.6640625,A3;A4;B3;B4
54,267,131,36,42,356.25,106.875,B4;B5;C4;C5
40,232,43,28,25,307.5,39.0234375,A4
83,304,42,25,23,395.625,37.6171875,A5
44,285,41,44,44,383.75,44.296875,A5;B5
2,350,126,39,39,461.875,102.3046875,B6;C6
50,374,215,86,29,521.25,161.3671875,D6;D7
3,311,81,22,23,402.5,65.0390625,B5;B6
51,309,65,29,36,404.375,58.359375,A5;A6;B5;B6
45,317,93,25,22,411.875,73.125,B5;B6
87,473,198,52,47,623.75,155.7421875,C7;C8;D7;D8
84,319,81,40,37,423.75,69.9609375,B5;B6
53,263,178,45,46,356.875,141.328125,C4;C5;D4;D5
1,456,87,57,60,605.625,82.265625,A7;A8;B7;B8
47,305,6,49,32,411.875,15.46875,A5;A6
46,307,216,48,44,413.75,167.34375,D5;D6
