image,x,y,width,height,gt_x,gt_y,cell
48,281,48,17,14,361.875,38.671875,A5
49,436,51,21,20,558.125,42.890625,A7;B7
8,396,144,26,21,511.25,108.6328125,C6;C7
9,257,55,24,22,336.25,46.40625,A4;A5;B4;B5
14,353,0,70,48,485.0,16.875,A5;A6;A7
28,428,41,19,16,546.875,34.453125,A7
29,398,32,20,21,510.0,29.8828125,A7
15,252,78,35,31,336.875,65.7421875,B4;B5
17,464,193,32,31,600.0,146.6015625,C8;D8
16,463,103,26,21,595.0,79.8046875,B8
12,213,50,24,21,281.25,42.5390625,A4;B4
13,299,12,64,54,413.75,27.421875,A5;A6
39,339,29,20,22,436.25,28.125,A6
11,301,114,25,22,391.875,87.890625,B5;C5
10,365,83,21,18,469.375,64.6875,B6
38,365,70,22,19,470.0,55.8984375,B6
35,295,71,22,20,382.5,56.953125,B5
21,279,96,25,20,364.375,74.53125,B5
20,173,70,40,41,241.25,63.6328125,A3;A4;B3;B4
34,502,85,25,25,643.125,68.5546875,B8;B9
22,551,76,20,22,701.25,61.171875,B9
36,190,85,24,23,252.5,67.8515625,B3;B4
37,141,59,37,39,199.375,55.1953125,A2;A3;B2;B3
23,195,62,21,20,256.875,50.625,A3;A4;B3;B4
27,117,20,23,25,160.625,22.8515625,A2;A3
33,258,8,22,22,336.25,13.359375,A4;A5
32,371,105,21,24,476.875,82.265625,B6
26,166,118,45,46,235.625,99.140625,B3;C3
18,225,59,40,42,306.25,56.25,A4;B4
30,296,49,17,20,380.625,41.484375,A5
24,301,53,27,30,393.125,47.8125,A5;B5
25,426,65,27,33,549.375,57.3046875,A7;B7
31,403,89,27,31,520.625,73.4765625,B7
19,396,43,21,25,508.125,39.0234375,A7
4,247,52,32,38,328.75,49.921875,A4;A5;B4;B5
42,460,34,23,21,589.375,31.2890625,A8
43,381,8,38,36,500.0,18.28125,A6;A7
5,260,58,19,18,336.875,47.109375,A4;A5;B4;B5
41,369,40,24,30,476.25,38.671875,A6
7,347,88,23,22,448.125,69.609375,B6
6,337,63,19,20,433.125,51.328125,A6;B6
40,190,62,22,19,251.25,50.2734375,A3;A4;B3;B4
44,372,54,19,21,476.875,45.3515625,A6;B6
2,288,33,61,60,398.125,44.296875,A5;B5
50,189,69,25,22,251.875,56.25,A3;A4;B3;B4
3,332,192,23,24,429.375,143.4375,D6
45,373,56,40,30,491.25,49.921875,A6;A7;B6;B7
1,341,134,20,18,438.75,100.546875,C6
47,257,74,38,39,345.0,65.7421875,A4;A5;B4;B5
46,321,70,54,49,435.0,66.4453125,A5;A6;B5;B6
